product_key,item_code,product_name,category,subcategory,brand,supplier,unit_cost_ratio,typical_unit_cost
1,Item_10_BEV,FreshFarm Sparkling Cola (100g),Beverages,Soft Drinks,FreshFarm,Global Foods Ltd,0.564,10.43
2,Item_10_BUT,TechGear Chicken Breast (250g),Butchers,Poultry,TechGear,ElectroSource Inc,0.553,10.23
3,Item_10_CEA,HomeComfort Mechanical Keyboard (Model C),Computers & Electric Accessories,Components,HomeComfort,ComfortLiving Co,0.628,11.62
4,Item_10_EHE,NatureBest LED Desk Lamp (Model D),Electric Household Essentials,Lighting,NatureBest,FarmDirect,0.592,10.95
5,Item_10_FOOD,DailySelect Olive Oil (330ml),Food,Fresh Produce,DailySelect,MetroSupply Chain,0.604,11.17
6,Item_10_FUR,PrimeChoice Coffee Table (Medium),Furniture,Bedroom,PrimeChoice,PremiumGoods,0.568,10.51
7,Item_10_MILK,SmartLiving Probiotic Yogurt (100g),Milk Products,Yogurt,SmartLiving,UrbanWare,0.689,12.75
8,Item_10_PAT,TasteMaster Fruit Tart (250g),Patisserie,Desserts,TasteMaster,HomeStyle Imports,0.559,10.34
9,Item_11_BEV,FreshFarm Sparkling Cola (500g),Beverages,Soft Drinks,FreshFarm,Global Foods Ltd,0.542,10.84
10,Item_11_BUT,TechGear Chicken Breast (1kg),Butchers,Poultry,TechGear,ElectroSource Inc,0.553,11.06
11,Item_11_CEA,HomeComfort Mechanical Keyboard (Model C),Computers & Electric Accessories,Components,HomeComfort,ComfortLiving Co,0.622,12.44
12,Item_11_EHE,NatureBest LED Desk Lamp (Model D),Electric Household Essentials,Lighting,NatureBest,FarmDirect,0.621,12.42
13,Item_11_FOOD,DailySelect Olive Oil (100g),Food,Fresh Produce,DailySelect,MetroSupply Chain,0.533,10.66
14,Item_11_FUR,PrimeChoice Coffee Table (Medium),Furniture,Bedroom,PrimeChoice,PremiumGoods,0.52,10.4
15,Item_11_MILK,SmartLiving Probiotic Yogurt (500g),Milk Products,Yogurt,SmartLiving,UrbanWare,0.665,13.3
16,Item_11_PAT,TasteMaster Fruit Tart (1kg),Patisserie,Desserts,TasteMaster,HomeStyle Imports,0.604,12.08
17,Item_12_BEV,FreshFarm Sparkling Cola (330ml),Beverages,Soft Drinks,FreshFarm,Global Foods Ltd,0.522,11.22
18,Item_12_BUT,TechGear Chicken Breast (1L),Butchers,Poultry,TechGear,ElectroSource Inc,0.609,13.09
19,Item_12_CEA,HomeComfort Mechanical Keyboard (Model C),Computers & Electric Accessories,Components,HomeComfort,ComfortLiving Co,0.681,14.64
20,Item_12_EHE,NatureBest LED Desk Lamp (Model D),Electric Household Essentials,Lighting,NatureBest,FarmDirect,0.571,12.28
21,Item_12_FOOD,DailySelect Olive Oil (500g),Food,Fresh Produce,DailySelect,MetroSupply Chain,0.611,13.14
22,Item_12_FUR,PrimeChoice Coffee Table (Medium),Furniture,Bedroom,PrimeChoice,PremiumGoods,0.57,12.26
23,Item_12_MILK,SmartLiving Probiotic Yogurt (330ml),Milk Products,Yogurt,SmartLiving,UrbanWare,0.634,13.63
24,Item_12_PAT,TasteMaster Fruit Tart (1L),Patisserie,Desserts,TasteMaster,HomeStyle Imports,0.566,12.17
25,Item_13_BEV,FreshFarm Sparkling Cola (100g),Beverages,Soft Drinks,FreshFarm,Global Foods Ltd,0.596,13.71
26,Item_13_BUT,TechGear Chicken Breast (250g),Butchers,Poultry,TechGear,ElectroSource Inc,0.584,13.43
27,Item_13_CEA,HomeComfort Mechanical Keyboard (Model C),Computers & Electric Accessories,Components,HomeComfort,ComfortLiving Co,0.609,14.01
28,Item_13_EHE,NatureBest LED Desk Lamp (Model D),Electric Household Essentials,Lighting,NatureBest,FarmDirect,0.58,13.34
29,Item_13_FOOD,DailySelect Olive Oil (330ml),Food,Fresh Produce,DailySelect,MetroSupply Chain,0.615,14.14
30,Item_13_FUR,PrimeChoice Coffee Table (Medium),Furniture,Bedroom,PrimeChoice,PremiumGoods,0.56,12.88
31,Item_13_MILK,SmartLiving Probiotic Yogurt (100g),Milk Products,Yogurt,SmartLiving,UrbanWare,0.681,15.66
32,Item_13_PAT,TasteMaster Fruit Tart (250g),Patisserie,Desserts,TasteMaster,HomeStyle Imports,0.623,14.33
33,Item_14_BEV,FreshFarm Sparkling Cola (500g),Beverages,Soft Drinks,FreshFarm,Global Foods Ltd,0.554,13.57
34,Item_14_BUT,TechGear Chicken Breast (1kg),Butchers,Poultry,TechGear,ElectroSource Inc,0.647,15.85
35,Item_14_CEA,HomeComfort Mechanical Keyboard (Model C),Computers & Electric Accessories,Components,HomeComfort,ComfortLiving Co,0.638,15.63
36,Item_14_EHE,NatureBest LED Desk Lamp (Model D),Electric Household Essentials,Lighting,NatureBest,FarmDirect,0.625,15.31
37,Item_14_FOOD,DailySelect Olive Oil (100g),Food,Fresh Produce,DailySelect,MetroSupply Chain,0.613,15.02
38,Item_14_FUR,PrimeChoice Coffee Table (Medium),Furniture,Bedroom,PrimeChoice,PremiumGoods,0.562,13.77
39,Item_14_MILK,SmartLiving Probiotic Yogurt (500g),Milk Products,Yogurt,SmartLiving,UrbanWare,0.686,16.81
40,Item_14_PAT,TasteMaster Fruit Tart (1kg),Patisserie,Desserts,TasteMaster,HomeStyle Imports,0.608,14.9
41,Item_15_BEV,FreshFarm Sparkling Cola (330ml),Beverages,Soft Drinks,FreshFarm,Global Foods Ltd,0.57,14.82
42,Item_15_BUT,TechGear Chicken Breast (1L),Butchers,Poultry,TechGear,ElectroSource Inc,0.555,14.43
43,Item_15_CEA,HomeComfort Mechanical Keyboard (Model C),Computers & Electric Accessories,Components,HomeComfort,ComfortLiving Co,0.623,16.2
44,Item_15_EHE,NatureBest LED Desk Lamp (Model D),Electric Household Essentials,Lighting,NatureBest,FarmDirect,0.599,15.57
45,Item_15_FOOD,DailySelect Olive Oil (500g),Food,Fresh Produce,DailySelect,MetroSupply Chain,0.538,13.99
46,Item_15_FUR,PrimeChoice Coffee Table (Medium),Furniture,Bedroom,PrimeChoice,PremiumGoods,0.523,13.6
47,Item_15_MILK,SmartLiving Probiotic Yogurt (330ml),Milk Products,Yogurt,SmartLiving,UrbanWare,0.61,15.86
48,Item_15_PAT,TasteMaster Fruit Tart (1L),Patisserie,Desserts,TasteMaster,HomeStyle Imports,0.578,15.03
49,Item_16_BEV,FreshFarm Sparkling Cola (100g),Beverages,Soft Drinks,FreshFarm,Global Foods Ltd,0.564,15.51
50,Item_16_BUT,TechGear Chicken Breast (250g),Butchers,Poultry,TechGear,ElectroSource Inc,0.586,16.11
51,Item_16_CEA,HomeComfort Mechanical Keyboard (Model C),Computers & Electric Accessories,Components,HomeComfort,ComfortLiving Co,0.637,17.52
